id,2doctor,capacity,capacity_max,avg,capacity_avg≤ª”√,capacity_avgmin
D1,https://fanxiaohan.haodf.com,1,3,2,2,2
D2,https://jiaxiaoqian.haodf.com,2,8,5,5,5
D3,https://qianhaiyandr.haodf.com,1,6,2.2,2,2
D4,https://zhaoqinshuo.haodf.com,10,10,10,10,10
D5,https://she6nt.haodf.com,1,3,1.375,1,1
D6,https://yunzhezhang.haodf.com,1,3,1.833,2,1
D7,https://sychhy.haodf.com,3,5,4,4,4
D8,https://sjdll.haodf.com,1,2,1.333,1,1
D9,https://sygdf.haodf.com,1,5,2.6,3,2
D10,https://xuzhong18.haodf.com,1,3,2.167,2,2
D11,https://yangming4831.haodf.com,1,4,2,2,2
D12,https://xjwang2017.haodf.com,1,2,1.27,1,1
D13,https://zhangningdoc.haodf.com,1,3,2.143,2,2
D14,https://limingzhou.haodf.com,1,6,1.889,2,1
D15,https://sunruhui2019.haodf.com,1,11,4.75,5,4
D16,https://gaolijian1973.haodf.com,1,4,2,2,2
D17,https://liuxu001.haodf.com,1,3,1.667,2,1
D18,https://sdwfzy01.haodf.com,1,7,2.857,3,2
D19,https://drliyongguang.haodf.com,1,5,2.273,2,2
D20,https://drzhengxuwei.haodf.com,1,17,6.25,6,6
D21,https://cbo3637.haodf.com,1,5,3.25,3,3
D22,https://drtanjinfeng001.haodf.com,1,15,5.8,6,5
D23,https://luochufan.haodf.com,1,7,2.429,2,2
D24,https://drjiyongchun001.haodf.com,5,16,10,10,10
D25,https://drgaoyuxia.haodf.com,1,7,3.583,4,3
D26,https://marxrzp.haodf.com,1,19,8,8,8
D27,https://hchadoctor.haodf.com,1,12,5.167,5,5
D28,https://tangchunpingdr.haodf.com,1,10,5.167,5,5
D29,https://fwliuhaibo.haodf.com,1,14,7.154,7,7
D30,https://drzhangpengfei.haodf.com,1,2,1.33,1,1
D31,https://changyuqi.haodf.com,1,2,1.167,1,1
D32,https://yaoyan.haodf.com,1,2,1.6,2,1
D33,https://liuhuiys.haodf.com,1,2,1.143,1,1
D34,https://wstl1986.haodf.com,1,3,2,2,2
D35,https://Duzhongdong.haodf.com,1,2,1.143,1,1
D36,https://zhuweihuadf.haodf.com,1,2,1.4,1,1
D37,https://jrdoctoryang.haodf.com,1,2,1.75,2,1
D38,https://zero991127.haodf.com,1,2,1.25,1,1
D39,https://wugang72.haodf.com,1,2,1.5,2,1
D40,https://lijiangcs.haodf.com,1,2,1.2,1,1
D41,https://guoyingscmc.haodf.com,1,2,1.2,1,1
D42,https://zzcyw.haodf.com,1,1,1,1,1
D43,https://zhaoqing2.haodf.com,1,1,1,1,1
D44,https://doczhaodi.haodf.com,1,2,1.25,1,1
D45,https://yuhui7777777.haodf.com,1,4,2.5,3,2
D46,https://wyf5257282.haodf.com,2,3,2.5,3,2
D47,https://doctorwq.haodf.com,1,1,1,1,1
D48,https://doctorssm.haodf.com,1,2,1.33,1,1
D49,https://shencaiyundoc.haodf.com,1,2,1.25,1,1
D50,https://niehonggang.haodf.com,1,1,1,1,1
D51,https://lupingdr.haodf.com,1,2,1.67,2,1
D52,https://liucory.haodf.com,1,2,1.25,1,1
D53,https://lizhengzhang3.haodf.com,1,2,1.333,1,1
D54,https://drlixuebin.haodf.com,1,1,1,1,1
D55,https://lijieljdr.haodf.com,1,1,1,1,1
D56,https://kanglianming.haodf.com,1,2,1.25,1,1
D57,https://drhuangzheng008.haodf.com,1,2,1.25,1,1
D58,https://hmsg90.haodf.com,1,3,1.67,2,1
D59,https://fanbing.haodf.com,1,3,1.67,2,1
D60,https://pengqing9712118.haodf.com,1,5,2.6,3,2
